"","X","cas","toxpi","average_VAM_scores","mesh","status","compound_name","Drug_Matrix_Rat_invitro_Single_Dose_1_day","Drug_Matrix_Rat_invivo_Single_Dose_1_day","Drug_Matrix_Rat_invivo_Repeated_Dose_3_days","Drug_Matrix_Rat_invivo_Repeated_Dose_5_days","TG_GATEs_Rat_invivo_Single_Dose_High_1_day","TG_GATEs_Rat_invivo_Single_Dose_Low_1_day","TG_GATEs_Rat_invivo_Single_Dose_Middle_1_day","Consensus_Rat_invitro_DM_TG_GATEs","Consensus_LINCS_HEPG2","PPI_STRINGdb","TG_Gates_Rat_invivo_Repeated_15_day_High","TG_Gates_Rat_invivo_Repeated_15_day_Low","TG_Gates_Rat_invivo_Repeated_15_day_Middle","TG_Gates_Rat_invivo_Repeated_29_day_High","TG_Gates_Rat_invivo_Repeated_29_day_Low","TG_Gates_Rat_invivo_Repeated_29_day_Middle","TG_Gates_Rat_invivo_Repeated_8_day_High","TG_Gates_Rat_invivo_Repeated_8_day_Low","TG_Gates_Rat_invivo_Repeated_8_day_Middle","TG_GATEs_Human_invitro_Single_Dose_1_day","TG_GATEs_Rat_invitro_Single_Dose_1_day","TG_GATEs_Rat_invivo_Repeated_Dose_15_days","TG_GATEs_Rat_invivo_Repeated_Dose_29_days","TG_GATEs_Rat_invivo_Repeated_Dose_8_days","unk_VAM_scores"
"C032538","","106-44-5",0.059443746,0.986737827502962,"C032538","edc","4-cresol",0.99883877399843,0.998734588570929,0.99902899592859,0.997612138669509,0.999268966793592,0.98344156393916,0.999731242845006,0.998823101278009,0.998232770244064,0.986954990425714,0.999564682081718,0.969749805314466,0.975453212398636,0.999785633878391,0.994210907452495,0.99901769510087,0.990116157297292,0.999422876487168,0.954629761218472,0.961894358754633,0.892612918348696,0.999454239635155,0.986596264354598,0.998532215055489,0.986737827502962
"C018511","","106-46-7",0.060256519,0.975830942286598,"C018511","unk","4-dichlorobenzene",0.994568425195276,0.999653263882783,0.993204424725533,0.999674577377312,0.99582586699112,0.951789053622113,0.977663104035233,0.999723460805301,0.990748538514805,0.993340902542941,0.995754517466832,0.985625525564857,0.974325410280111,0.998721263710143,0.996805901374292,0.999442983783057,0.958511841888219,0.998117267340177,0.968615279962043,0.985411845119747,0.690201118066296,0.993317153021707,0.980923841538565,0.99797704806988,0.975830942286598
"C004658","","106-47-8",0.054360267,0.250804574621901,"C004658","unk","4-chloroaniline",0.103968173261798,0.210242951977168,0.748784129286839,0.368690268112088,0.0355612541307229,0.451740585048238,0.0235168497817969,0.378251489070276,0.480751022317721,0.483011647540763,0.198740788684506,0.248740168016858,0.255730401272056,0.039182463111248,0.00820252609352684,0.0283083628928782,0.0822273849104359,0.343752993458194,0.251757891552015,0.495761375065342,0.358893502889081,0.0550392895501367,0.357195651775035,0.011258621126909,0.250804574621901
"C029107","","106-48-9",0.06706931,0.352204849750342,"C029107","unk","4-chlorophenol",0.515910801902831,0.000331579996460171,0.0260474740625665,0.00372552724576174,0.642020982423027,0.452247375801234,0.444907727326629,0.354183223157917,0.00892622664473362,0.41019938276202,0.321123870367627,0.190405494394832,0.711544559365158,0.694729283218548,0.16091454284672,0.00336592298924676,0.674135818014497,0.558057598465448,0.590592700909296,0.072882786225137,0.133080927730667,0.904159702965243,0.0623256518044854,0.517097233388113,0.352204849750342
"C029728","","106-50-3",0.063350002,0.939389239642657,"C029728","edc","4-phenylenediamine",0.974152444438408,0.944655155765454,0.997035677609631,0.94989258489297,0.992964005932763,0.76213462697686,0.980249666952148,0.9760757605974,0.959342232600741,0.979016783998822,0.979089527274671,0.873596077318854,0.895972354174089,0.994921136539582,0.986218702083956,0.994430169966834,0.844217088851401,0.987405510955886,0.931583383849349,0.857295725922038,0.809816275793733,0.991243768694142,0.890449506912678,0.993583583321361,0.939389239642657
"C056451","","106-65-0",0.051564086,0.672472326352204,"C056451","unk","dimethyl succinate",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.672472326352204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.672472326352204
"D015946","","106-93-4",0.059332172,0.840669163728369,"D015946","unk","Ethylene Dibromide",0.873389213477893,0.465669421092855,0.994904128043013,0.887549952383239,0.968092434583272,0.610011774855753,0.874468399001934,0.833465170731807,0.940421150676278,0.718364250008705,0.954049960874843,0.759796948862867,0.62591012037512,0.972813779991133,0.965197587341244,0.963953166866148,0.87224492158794,0.907769312723911,0.787416249015362,0.537423670145282,0.788556565774568,0.986976001432952,0.902876813702956,0.984738935931769,0.840669163728369
"C006698","","10605-21-7",0.054544599,0.941296047640301,"C006698","edc","carbendazim",0.996772397911912,0.980201319384659,0.999688898847912,0.997531625576795,0.964728438566894,0.899756950663124,0.992254688054878,0.970736713532786,0.979269346656212,0.996343267803424,0.9919019018625,0.899315300902392,0.989655933269005,0.997995298170405,0.997852818375694,0.995576815591616,0.587660190337043,0.987680994080046,0.651588121787374,0.889035520561949,0.894736456675892,0.999902653547627,0.937485144817726,0.99343434638936,0.941296047640301
"D005023","","107-07-3",0.049497332,0.978485791413631,"D005023","unk","Ethylene Chlorohydrin",0.987952746675946,0.99955163061339,0.999730715692639,0.998941125371225,0.99729739965327,0.960714743794201,0.999527547340691,0.993313125770807,0.99469726348664,0.879707558415323,0.998920081436214,0.881149545393157,0.978095038617624,0.999802915841261,0.998545098969698,0.998855910784029,0.991935777132696,0.99861475106215,0.963574390313996,0.921951598073415,0.952277953593926,0.999697580910847,0.989437419358049,0.999367075625961,0.978485791413631
"D000181","","107-13-1",0.055210356,0.983265069186798,"D000181","unk","Acrylonitrile",0.99687415448109,0.999653935609369,0.999670046691853,0.999450096924319,0.998739803756247,0.955699474203961,0.999638524641915,0.997254614874034,0.996428649457608,0.976530905853165,0.998210926201311,0.97414608001029,0.914908788108973,0.999731868221266,0.98037744676563,0.998881991029746,0.954547677433234,0.995129779277342,0.981264735909863,0.970834430087715,0.929613794783995,0.999689402535111,0.987292216254512,0.9937923173706,0.983265069186798
